No.,VCC,M_V,M_Z,R_P,R_3D,L_z,M,N_GC,SN,SN_z,T,SL,SM,SN_z_blue,SN_z_red,T_blue,T_red,f_red,
21,685,-20.11,-21.04,1.33,,19.12,31.23 +- 6.69,196 +- 60,1.78 +- 0.54,0.75 +- 0.23,6.3 +- 2.3,0.40 +- 0.01,0.36 +- 0.08,0.54 +- 0.19,0.22 +- 0.13,4.5 +- 1.8,1.8 +- 1.2,0.29,
22,1664,-19.9,-20.97,0.48,0.77 +- 0.38,15.39,26.00 +- 6.15,213 +- 31,2.35 +- 0.34,0.87 +- 0.13,8.2 +- 2.3,0.42 +- 0.01,0.37 +- 0.09,0.54 +- 0.10,0.33 +- 0.07,5.1 +- 1.5,3.1 +- 1.0,0.38,
23,654,-19.88,-20.59,1.35,,14.22,22.74 +- 4.12,45 +- 16,0.50 +- 0.18,0.26 +- 0.09,2.0 +- 0.8,0.05 +- 0.00,0.05 +- 0.01,0.23 +- 0.08,0.04 +- 0.05,1.7 +- 0.7,0.3 +- 0.4,0.15,
24,944,-19.8,-20.66,0.86,1.05 +- 0.38,13.94,29.14 +- 4.88,72 +- 10,0.87 +- 0.12,0.39 +- 0.05,2.5 +- 0.5,0.11 +- 0.01,0.08 +- 0.01,0.25 +- 0.04,0.14 +- 0.03,1.6 +- 0.4,0.9 +- 0.3,0.36,
25,1938,-19.93,-20.86,0.89,1.00 +- 0.40,15.71,24.86 +- 5.50,59.8 +- 9.2,0.64 +- 0.10,0.27 +- 0.04,2.4 +- 0.6,0.12 +- 0.01,0.11 +- 0.02,0.22 +- 0.04,0.05 +- 0.02,1.9 +- 0.5,0.5 +- 0.2,0.19,
26,1279,-19.78,-20.72,0.04,0.47 +- 0.40,13.42,22.03 +- 4.03,58 +- 11,0.72 +- 0.15,0.30 +- 0.06,2.7 +- 0.7,0.13 +- 0.01,0.11 +- 0.02,0.21 +- 0.05,0.09 +- 0.04,1.8 +- 0.6,0.8 +- 0.3,0.3,
27,1720,-19.63,-20.68,0.94,0.97 +- 0.38,11.55,20.21 +- 5.31,62 +- 13,0.87 +- 0.18,0.33 +- 0.07,3.1 +- 1.0,0.12 +- 0.00,0.10 +- 0.03,0.22 +- 0.06,0.12 +- 0.04,2.0 +- 0.7,1.1 +- 0.5,0.36,
28,355,-19.42,-20.41,1.07,1.55 +- 0.36,10.06,15.78 +- 3.62,100 +- 31,1.70 +- 0.53,0.69 +- 0.21,6.3 +- 2.4,0.11 +- 0.02,0.11 +- 0.03,0.53 +- 0.17,0.16 +- 0.12,4.9 +- 2.0,1.4 +- 1.2,0.23,
29,1619,-19.36,-20.19,0.33,1.51 +- 0.36,8.65,17.24 +- 3.12,84 +- 19,1.52 +- 0.34,0.70 +- 0.16,4.9 +- 1.4,0.14 +- 0.01,0.10 +- 0.02,0.52 +- 0.13,0.19 +- 0.09,3.6 +- 1.1,1.3 +- 0.7,0.27,
30,1883,-19.68,-20.73,1.65,1.69 +- 0.38,11.19,16.66 +- 3.92,83 +- 25,1.11 +- 0.34,0.42 +- 0.13,5.0 +- 1.9,0.16 +- 0.00,0.16 +- 0.04,0.29 +- 0.10,0.13 +- 0.07,3.4 +- 1.5,1.6 +- 0.9,0.31,
31,1242,-19.38,-20.29,0.49,1.42 +- 0.43,9.07,15.27 +- 3.17,116 +- 24,2.05 +- 0.42,0.88 +- 0.18,7.6 +- 2.2,0.31 +- 0.01,0.26 +- 0.05,0.57 +- 0.15,0.31 +- 0.11,4.9 +- 1.6,2.7 +- 1.1,0.35,
32,784,-19.31,-20.26,1,1.30 +- 0.37,8.48,16.79 +- 3.14,50 +- 14,0.95 +- 0.27,0.39 +- 0.11,3.0 +- 1.0,0.07 +- 0.01,0.05 +- 0.01,0.23 +- 0.09,0.17 +- 0.07,1.7 +- 0.7,1.3 +- 0.6,0.44,
33,1537,-18.99,-19.95,0.39,1.18 +- 0.36,6.18,10.24 +- 2.35,31.4 +- 7.2,0.80 +- 0.18,0.33 +- 0.08,3.1 +- 1.0,0.00 +- 0.00,0.00 +- 0.00,0.29 +- 0.07,0.04 +- 0.03,2.7 +- 0.9,0.4 +- 0.3,0.12,
34,778,-19.56,-20.03,0.79,1.17 +- 0.41,10.73,18.18 +- 4.19,74 +- 32,1.11 +- 0.48,0.72 +- 0.31,4.1 +- 2.0,0.14 +- 0.01,0.12 +- 0.03,0.51 +- 0.25,0.21 +- 0.18,2.9 +- 1.6,1.2 +- 1.1,0.29,
35,1321,-18.8,-19.93,1.26,1.99 +- 0.35,4.86,6.98 +- 1.75,31.0 +- 9.0,0.94 +- 0.27,0.33 +- 0.10,4.4 +- 1.7,0.09 +- 0.01,0.08 +- 0.02,0.24 +- 0.08,0.09 +- 0.05,3.3 +- 1.3,1.2 +- 0.8,0.27,
36,828,-19.15,-20.07,0.38,1.42 +- 0.42,7.51,13.69 +- 3.00,69.5 +- 9.8,1.52 +- 0.21,0.65 +- 0.09,5.1 +- 1.3,0.00 +- 0.00,0.00 +- 0.00,0.50 +- 0.08,0.15 +- 0.05,3.9 +- 1.1,1.2 +- 0.4,0.23,
