No.,VCC,M_V,M_Z,R_P,R_3D,L_z,M,N_GC,SN,SN_z,T,SL,SM,SN_z_blue,SN_z_red,T_blue,T_red,f_red,
84,1440,-16.86,-17.66,0.88,1.21 +- 0.45,0.78,1.19 +- 0.44,26.7 +- 6.8,4.81 +- 1.22,2.30 +- 0.58,22.5 +- 10.1,0.29 +- 0.05,0.31 +- 0.12,1.93 +- 0.51,0.37 +- 0.28,18.9 +- 8.6,3.6 +- 3.1,0.16,
85,230,-16.21,-16.96,0.96,1.41 +- 0.84,0.43,0.69 +- 0.29,28.7 +- 6.7,9.39 +- 2.19,4.73 +- 1.10,41.4 +- 20.0,5.45 +- 1.17,3.68 +- 1.73,4.64 +- 1.03,0.09 +- 0.41,40.5 +- 19.4,0.8 +- 3.6,0.02,
86,2050,-16.36,-17.15,1.16,1.47 +- 0.52,0.47,0.29 +- 0.26,9.2 +- 4.3,2.63 +- 1.23,1.27 +- 0.60,31.5 +- 32.0,0.21 +- 0.06,0.43 +- 0.41,1.27 +- 0.54,0.00 +- 0.25,31.5 +- 31.4,0.0 +- 6.1,0,
87,1993,-16.3,-17.02,0.95,1.03 +- 0.38,0.48,0.75 +- 0.27,-1.6 +- 2.1,-0.48 +- 0.63,-0.25 +- 0.33,-2.1 +- 2.9,-0.07 +- 0.08,0.29 +- 0.13,-0.03 +- 0.30,-0.22 +- 0.29,-0.3 +- 2.6,-1.9 +- 2.6,0,
88,751,-16.97,-17.92,1.72,2.05 +- 0.44,0.92,1.41 +- 0.51,9.2 +- 4.3,1.49 +- 0.70,0.62 +- 0.29,6.5 +- 3.9,0.13 +- 0.04,0.11 +- 0.06,0.62 +- 0.27,0.00 +- 0.12,6.5 +- 3.6,0.0 +- 1.3,0,
89,1828,-16.78,-17.47,0.67,0.67 +- 0.55,0.72,1.26 +- 0.47,20.4 +- 5.8,3.94 +- 1.12,2.10 +- 0.60,16.3 +- 7.7,0.95 +- 0.08,0.78 +- 0.30,2.10 +- 0.56,0.00 +- 0.22,16.3 +- 7.5,0.0 +- 1.7,0,
90,538,-16.24,-17.1,1.62,6.47 +- 0.86,0.44,0.63 +- 0.26,0.6 +- 3.5,0.19 +- 1.11,0.09 +- 0.51,0.9 +- 5.5,-0.31 +- 0.22,-0.25 +- 0.19,0.09 +- 0.42,0.00 +- 0.29,0.9 +- 4.6,0.0 +- 3.1,0,
91,1407,-16.72,-17.43,0.17,0.23 +- 0.39,0.68,1.24 +- 0.42,49.7 +- 8.6,10.18 +- 1.76,5.30 +- 0.92,40.2 +- 15.5,0.69 +- 0.07,0.50 +- 0.18,4.61 +- 0.82,0.69 +- 0.41,35.0 +- 13.5,5.2 +- 3.6,0.13,
92,1886,-16.25,-16.93,0.76,,0.36,0.51 +- 0.10,3.9 +- 2.6,1.24 +- 0.82,0.66 +- 0.44,7.7 +- 5.3,0.29 +- 0.06,0.41 +- 0.11,0.66 +- 0.41,0.00 +- 0.17,7.7 +- 5.0,0.0 +- 1.9,0,
93,1199,-15.47,-16.94,1.25,,0.29,0.58 +- 0.16,-9 +- 14,-6.24 +- 9.23,-1.60 +- 2.37,-16.6 +- 24.9,-3.39 +- 0.24,-2.55 +- 0.74,-0.90 +- 1.93,-0.70 +- 1.45,-9.3 +- 20.1,-7.3 +- 15.2,0,
94,1743,-16.33,-16.95,0.84,1.27 +- 0.75,0.45,0.40 +- 0.29,9.8 +- 6.4,2.88 +- 1.88,1.63 +- 1.06,24.6 +- 23.9,-0.03 +- 0.29,-0.13 +- 0.55,1.11 +- 0.87,0.52 +- 0.62,16.7 +- 17.8,7.9 +- 10.9,0.32,
95,1539,-16.05,-17.12,0.25,0.26 +- 0.87,0.37,0.52 +- 0.11,31.0 +- 7.0,11.83 +- 2.67,4.40 +- 0.99,59.4 +- 18.7,2.41 +- 0.33,1.73 +- 0.40,4.40 +- 0.93,0.00 +- 0.35,59.4 +- 18.1,0.0 +- 4.7,0,
96,1185,-16.77,-17.37,0.1,0.10 +- 0.79,0.78,0.89 +- 0.51,14.0 +- 5.7,2.73 +- 1.11,1.58 +- 0.64,15.7 +- 11.0,0.20 +- 0.04,0.26 +- 0.16,1.45 +- 0.56,0.13 +- 0.31,14.4 +- 9.9,1.3 +- 3.1,0.08,
97,1826,-16.03,-16.71,0.98,1.11 +- 0.61,0.35,0.61 +- 0.22,4.5 +- 3.9,1.74 +- 1.51,0.93 +- 0.81,7.3 +- 6.9,0.08 +- 0.11,-0.01 +- 0.12,0.93 +- 0.71,0.00 +- 0.40,7.3 +- 6.1,0.0 +- 3.1,0,
98,1512,-16.25,-16.54,0.38,1.50 +- 0.42,0.43,0.61 +- 0.12,4.7 +- 3.8,1.48 +- 1.20,1.14 +- 0.92,7.7 +- 6.5,-0.40 +- 0.58,-0.42 +- 0.42,1.14 +- 0.81,0.00 +- 0.44,7.7 +- 5.7,0.0 +- 3.0,0,
99,1489,-15.61,-16.41,0.45,,0.22,0.32 +- 0.06,11.7 +- 4.8,6.69 +- 2.74,3.19 +- 1.31,36.9 +- 16.7,0.46 +- 0.16,0.34 +- 0.14,2.20 +- 1.08,0.99 +- 0.75,25.4 +- 13.3,11.4 +- 8.9,0.31,
100,1661,-15.81,,,,,,10.2 +- 4.7,4.83 +- 2.23,,,,,,,,,,
