NGVS+0-5.l.u,127,61,230.2,1.30E-01
NGVS+0-5.l.z,57,171,2651.2,1.92E-01
NGVS+0-5.s.g,3.64,13,25.7,2.06E+00
NGVS+0-5.s.u,4.58,13,24.8,1.64E+00
NGVS+0-5.s.z,0.94,21,60.4,8.00E+00
NGVS+0-6.l.g,192,103,1435.2,3.90E-02
NGVS+0-6.l.i,70,107,1536.9,1.06E-01
NGVS+0-6.l.u,134,73,298.4,1.34E-01
NGVS+0-6.l.z,53,190,3266.3,2.08E-01
NGVS+0-6.s.g,3.59,14,27.3,2.09E+00
NGVS+0-6.s.u,4.75,24,82.4,1.58E+00
NGVS+0-6.s.z,0.91,30,126.9,8.24E+00
NGVS+0-7.l.g,179,92,1132,4.17E-02
NGVS+0-7.l.i,72,130,2287.2,1.03E-01
NGVS+0-7.l.u,116,64,254.2,1.42E-01
NGVS+0-7.l.z,55,157,2364.1,1.91E-01
NGVS+0-7.s.g,3.55,18,45.1,2.11E+00
NGVS+0-7.s.z,0.92,41,232.1,8.13E+00
NGVS+1+0.l.g,187,103,1420.9,3.99E-02
NGVS+1+0.l.i,69,123,2044.9,1.08E-01
NGVS+1+0.l.r,41,102,1766.3,1.46E-01
NGVS+1+0.l.u,126,56,190.9,1.30E-01
NGVS+1+0.l.z,55,160,2380.2,1.95E-01
NGVS+1+0.s.g,3.56,13,24.8,2.11E+00
NGVS+1+0.s.i,1.39,25,89.6,5.39E+00
NGVS+1+0.s.u,4.84,12,21.3,1.55E+00
NGVS+1+0.s.z,0.87,29,114.1,8.61E+00
NGVS+1+1.l.g,190,101,1379.4,3.93E-02
NGVS+1+1.l.i,70,120,1943.1,1.06E-01
NGVS+1+1.l.u,120,56,198,1.32E-01
NGVS+1+1.l.z,56,164,2478.6,1.94E-01
NGVS+1+1.s.g,3.64,11,19,2.06E+00
NGVS+1+1.s.i,1.38,20,55.6,5.44E+00
NGVS+1+1.s.u,4.84,12,20.9,1.55E+00
NGVS+1+1.s.z,0.89,25,86.5,8.42E+00
NGVS+1+2.l.g,194,99,1310.5,3.86E-02
NGVS+1+2.l.i,70,121,1967.7,1.07E-01
NGVS+1+2.l.u,129,55,189.9,1.28E-01
NGVS+1+2.l.z,56,168,2602.4,1.94E-01
NGVS+1+2.s.g,3.75,13,24.5,2.00E+00
NGVS+1+2.s.i,1.35,26,92,5.54E+00
NGVS+1+2.s.u,5.07,12,20.4,1.48E+00
NGVS+1+2.s.z,0.89,24,80.7,8.44E+00
NGVS+1+3.l.g,189,102,1389,3.96E-02
NGVS+1+3.l.i,69,131,2290.6,1.08E-01
NGVS+1+3.l.u,131,63,244.9,1.25E-01
NGVS+1+3.l.z,62,194,3149.2,1.93E-01
NGVS+1+3.s.g,3.6,14,26.2,2.08E+00
NGVS+1+3.s.i,1.38,16,35.3,5.43E+00
NGVS+1+3.s.z,0.9,18,46,8.35E+00
