Galaxy,MV,NGC(tot),SN,TMP,FMP,,
VCC0118,-16.07,3.5 +- 4.2,1.3 +- 1.6,3.1 +- 3.7,0.1 +- 0.0,,
VCC0128,-16.07,13.0 +- 5.1,4.9 +- 1.9,11.5 +- 4.5,0.8 +- 0.5,,
VCC0543,-16.95,15.2 +- 5.1,2.5 +- 0.8,5.9 +- 2.0,0.2 +- 0.0,,
VCC0546,-16,5.6 +- 3.9,2.2 +- 1.6,5.3 +- 3.7,0.2 +- 0.1,,
VCC0917,-16.88,7.0 +- 6.0,1.2 +- 1.1,2.9 +- 2.5,0.2 +- 0.1,,
VCC0996,-13.36,0.0 +- 4.4,0.0 +- 20.0,0.0 +- 40.0,0.0 +- 0.6,,
VCC1651,-14.67,4.9 +- 6.2,6.6 +- 8.4,15.7 +- 19.7,0.5 +- 0.2,,
VCC1729,-13.87,1.2 +- 3.5,3.3 +- 9.9,7.8 +- 23.5,0.6 +- 0.3,,
VCC1762,-15.47,4.7 +- 4.1,3.0 +- 2.6,7.2 +- 6.2,0.2 +- 0.1,,
VCC1781,-12.97,2.9 +- 4.0,19.1 +- 25.7,45.0 +- 60.8,7.5 +- 7.8,,
VCC1877,-13.07,3.5 +- 3.9,20.8 +- 23.0,49.1 +- 54.3,1.8 +- 0.4,,
VCC1948,-16.57,7.6 +- 4.3,1.8 +- 1.0,4.2 +- 2.4,0.2 +- 0.0,,
VCC2008,-16.58,8.8 +- 6.0,2.1 +- 1.4,4.9 +- 3.3,0.2 +- 0.0,,
VCC2029,-13.49,1.2 +- 4.2,4.7 +- 17.0,11.1 +- 40.1,0.4 +- 0.1,,
